연도,시도,학제,위험도_pct,위험도_점수
2012,강원,고,2.6070348837381543,8.81
2013,강원,고,3.2615098651289935,12.4
2014,강원,고,3.262215297864038,12.4
2015,강원,고,4.335815115417629,18.29
2016,강원,고,4.79496624455186,20.81
2017,강원,고,4.813780637377512,20.92
2018,강원,고,4.971350707673098,21.78
2019,강원,고,5.495046370386672,24.65
2020,강원,고,6.4967683282155875,30.15
2021,강원,고,6.64240323967878,30.95
2022,강원,고,7.842092765675554,37.53
2023,강원,고,8.131001838066942,39.12
2024,강원,고,9.647669967618803,47.44
2012,강원,중,3.2735864127133936,12.47
2013,강원,중,3.54328363483383,13.94
2014,강원,중,3.5745737959498673,14.12
2015,강원,중,4.073823590207371,16.86
2016,강원,중,4.435065232792279,18.84
2017,강원,중,4.067586738030242,16.82
2018,강원,중,4.3274256534929885,18.24
2019,강원,중,4.6845815671501665,20.21
2020,강원,중,5.018565858607888,22.04
2021,강원,중,5.290003569793984,23.53
2022,강원,중,5.7164871113750415,25.87
2023,강원,중,6.360856980232009,29.4
2024,강원,중,6.474693737624575,30.03
2012,경기,고,3.0837561312267434,11.42
2013,경기,고,3.4311978781587498,13.33
2014,경기,고,3.695566821460887,14.78
2015,경기,고,3.9273650735577186,16.05
2016,경기,고,4.967962405967677,21.76
2017,경기,고,5.3501307336641295,23.86
2018,경기,고,6.289547759115528,29.02
2019,경기,고,7.2090342174948425,34.06
2020,경기,고,7.857572065039278,37.62
2021,경기,고,8.955799321366484,43.64
2022,경기,고,11.799272408540403,59.24
2023,경기,고,13.875331373194832,70.63
2024,경기,고,16.53522572721399,85.23
2012,경기,중,2.545168932126331,8.47
2013,경기,중,2.7355083786687837,9.51
2014,경기,중,3.0482279100403877,11.23
2015,경기,중,3.2605062787752397,12.4
2016,경기,중,4.013416302146193,16.52
2017,경기,중,4.03611562211468,16.65
2018,경기,중,4.380614828724234,18.54
2019,경기,중,5.377470065616911,24.01
2020,경기,중,6.378994487612798,29.5
2021,경기,중,6.906995287298088,32.4
2022,경기,중,7.7325953334572075,36.93
2023,경기,중,8.985523598268223,43.81
2024,경기,중,10.191341989033402,50.42
2012,경남,고,1.7811206147522993,4.27
2013,경남,고,2.205678875971626,6.61
2014,경남,고,2.204027996622042,6.6
2015,경남,고,2.9033776181838653,10.43
2016,경남,고,3.2082323420759398,12.1
2017,경남,고,2.9143189219850925,10.49
2018,경남,고,3.450012753401065,13.43
2019,경남,고,4.245042036843214,17.79
2020,경남,고,5.143813929737778,22.73
2021,경남,고,5.918683755871728,26.98
2022,경남,고,7.587597129647925,36.14
2023,경남,고,9.192960034130286,44.94
2024,경남,고,11.529022406374674,57.76
2012,경남,중,2.355802186738738,7.43
2013,경남,중,2.681977664805194,9.22
2014,경남,중,2.709617760088846,9.37
2015,경남,중,3.1687786952717247,11.89
2016,경남,중,3.479599704047691,13.6
2017,경남,중,3.43715558238372,13.36
2018,경남,중,3.829314850985897,15.51
2019,경남,중,4.410399172744379,18.7
2020,경남,중,5.628153413009421,25.38
2021,경남,중,6.253797149451294,28.82
2022,경남,중,6.877001025364063,32.24
2023,경남,중,7.662225380165789,36.54
2024,경남,중,8.159668280880574,39.28
2012,경북,고,1.3252519511219942,1.77
2013,경북,고,1.4437000722591227,2.43
2014,경북,고,1.8398807212290893,4.6
2015,경북,고,2.3396906711993077,7.34
2016,경북,고,2.88426909823778,10.33
2017,경북,고,3.039043368163505,11.18
