시도,mean,std,CV_pct
경기,57.11764077401866,41.77421036889623,73.14
울산,59.583484768445864,40.190160119572916,67.45
충북,59.31106802703342,37.81714067094783,63.76
충남,101.88542415085541,64.52390499371339,63.33
서울,71.94644997985182,44.98545368742093,62.53
전북,62.197743374902906,35.82864618439916,57.6
경남,69.69055610882508,38.87851313224559,55.79
경북,120.67041253356115,65.9961501937087,54.69
강원,78.66503404684714,42.242469889311245,53.7
인천,78.93967056815401,42.18071432266173,53.43
광주,96.9363682334402,50.52246280561779,52.12
대구,115.58920971497307,59.68543929497326,51.64
전남,178.03796436754072,78.65215630286158,44.18
부산,86.93161076513532,37.83398496208458,43.52
대전,48.323571018404905,20.544299457830164,42.51
제주,86.86393771702357,35.81556285367373,41.23
