연도,시도,위험도_pct,위험도_점수
2012,강원,2.8271140133597616,24.26
2013,강원,3.5147634052127126,32.62
2014,강원,3.561266272191014,33.18
2015,강원,3.881150997975125,37.07
2016,강원,4.286133092283236,41.99
2017,강원,4.612343290662183,45.95
2018,강원,4.874243545007232,49.14
2019,강원,5.409952521794941,55.65
2020,강원,5.645789973322005,58.52
2021,강원,5.474142853190688,56.43
2022,강원,6.062722281069288,63.59
2023,강원,6.943415910248108,74.28
2024,강원,7.454720887201217,80.51
2012,경기,2.742900843248543,23.24
2013,경기,3.3997002958651734,31.22
2014,경기,3.6312157789209625,34.03
2015,경기,3.7406518055419955,35.37
2016,경기,4.18857946022861,40.81
2017,경기,4.516281981840844,44.79
2018,경기,4.923082696855281,49.73
2019,경기,5.5786861786234,57.71
2020,경기,5.647674384757316,58.54
2021,경기,5.227758186772341,53.44
2022,경기,6.159652547039603,64.77
2023,경기,7.1472735327127275,76.76
2024,경기,7.78658314476443,84.54
2012,경남,1.6665116831394349,10.16
2013,경남,2.250071791603661,17.25
2014,경남,2.3346388021480893,18.28
2015,경남,2.6307800231343457,21.88
2016,경남,3.2130326006996928,28.95
2017,경남,3.677605878777694,34.6
2018,경남,3.8756425684180553,37.01
2019,경남,4.394260988100277,43.3
2020,경남,4.726324493105202,47.34
2021,경남,4.683768540192799,46.83
2022,경남,5.111009716689168,52.02
2023,경남,5.676537029061068,58.9
2024,경남,6.26747712134785,66.07
2012,경북,1.5934181775365994,9.26
2013,경북,2.1748545575286102,16.33
2014,경북,2.4740057060442333,19.97
2015,경북,2.916035568525944,25.34
2016,경북,3.344728332108587,30.55
2017,경북,3.816902761619574,36.29
2018,경북,4.282350287873482,41.94
2019,경북,4.99982993679947,50.67
2020,경북,5.350004195679034,54.92
2021,경북,5.487342946040775,56.59
2022,경북,6.214090253896618,65.42
2023,경북,6.882817712516225,73.55
2024,경북,7.422524068745981,80.12
2012,광주,1.5895387599762851,9.22
2013,광주,2.1583038427902688,16.13
2014,광주,2.4432837444563273,19.59
2015,광주,2.5161313653538255,20.48
2016,광주,2.599338209758507,21.49
2017,광주,2.780234199420518,23.69
2018,광주,3.2844837322535994,29.81
2019,광주,3.659705796455345,34.38
2020,광주,4.057246260152688,39.21
2021,광주,3.8645635483953775,36.87
2022,광주,4.379920370415028,43.13
2023,광주,5.482588554778906,56.54
2024,광주,5.835343022487518,60.82
2012,대구,1.6186651934168572,9.58
2013,대구,2.1293698564499426,15.78
2014,대구,2.2094833557567224,16.75
2015,대구,2.3741235780656575,18.75
2016,대구,2.77782633713796,23.66
2017,대구,3.3865789092399132,31.06
2018,대구,3.7294916792894073,35.22
2019,대구,4.253906042805846,41.6
2020,대구,4.368202968565746,42.99
2021,대구,4.330697675860415,42.54
2022,대구,4.912882900054278,49.61
2023,대구,5.441670352092993,56.04
2024,대구,5.863093407836505,61.16
2012,대전,2.264502053843619,17.43
2013,대전,2.861834059631489,24.68
2014,대전,2.8167643484917173,24.14
2015,대전,2.7003209138523996,22.72
2016,대전,2.7871885408665467,23.77
2017,대전,3.2311507605529894,29.17
2018,대전,3.474294602086366,32.12
2019,대전,4.150397045550246,40.34
2020,대전,4.212221775447667,41.09
2021,대전,3.957737403634665,38.0
2022,대전,4.480916572249104,44.36
2023,대전,5.217200100459257,53.31
2024,대전,5.832729836107419,60.79
2012,부산,1.8935292560626664,12.92
2013,부산,2.546096747568593,20.84
2014,부산,2.611908717703267,21.65
2015,부산,2.8699414692331016,24.78
2016,부산,3.3358950892505037,30.44
2017,부산,3.453311266851687,31.87
2018,부산,3.8633384887925266,36.85
2019,부산,4.51363032010657,44.76
2020,부산,4.583155949415801,45.6
2021,부산,4.486173193466184,44.42
2022,부산,4.8714464609468795,49.1
2023,부산,5.510089596492808,56.87
2024,부산,5.819633873859452,60.63
2012,서울,3.8785906109396917,37.04
2013,서울,4.562604583049689,45.36
