연도,시도,학제,학급수,학급수_특수,학생수,학업중단자_전체,자퇴_전체,전출_전체,전입_전체,학업중단률_급,다문화학생_계,국제결혼_국내출생_전체,국제결혼_중도입국_전체,외국인가정_전체,해외출국_급,학생1인당_교지면적,학생1인당_건물면적,일반교실수,교과교실수,특별교실수,학급당_학생수_급,특수학급_비율_급,다문화_비율_급,중도입국_비율_급,외국인가정_비율_급,해외출국_비율_급,자퇴_비율_급,교실_학생당,GRDP_1인당,사교육_참여율,사교육비_1인당_만원,교원1인당_학생수,학력향상_억원,학력향상_세출비중,학력향상_학생당_천원,누리과정_억원,누리과정_학생당_천원,누리과정_세출비중,다문화이탈주민_억원,다문화이탈주민_학생당_천원,다문화이탈주민_세출비중,돌봄교실_억원,돌봄교실_학생당_천원,돌봄교실_세출비중,미달률_중_실측,미달률_고_실측,실측미달률,위험도_pct,위험도_점수
2012,강원,고,1919,40,56519,1219,0,972,895,2.2,188,163,20,5,57,75.49110918452202,21.2754648879138,0,0,0,29.452318916102136,2.084418968212611,0.33263150444983103,0.035386330260620324,0.008846582565155081,0.10085104124276792,0.0,0.0,22973.0,64.5,18.2,17.75,,,,,,,,,,,,,3.1,2.5,2.5,2.607,8.81
2013,강원,고,1929,65,56601,1259,1218,852,776,2.2,294,265,9,20,63,76.9906008727761,21.925566686100957,0,0,0,29.342146189735615,3.3696215655780195,0.5194254518471405,0.01590077913817777,0.035335064751506155,0.1113054539672444,2.151905443366725,0.0,24094.0,61.9,17.2,17.26,42.9094306,0.1856225233058637,22.056527657124647,,,,,,,,,,4.666666666666667,3.3000000000000003,3.3000000000000003,3.262,12.4
2014,강원,고,1905,49,55974,1047,994,726,618,1.8,444,414,23,7,55,77.81802265337478,22.405420373744956,0,0,0,29.38267716535433,2.5721784776902887,0.7932254260906849,0.04109050630649944,0.012505806267195484,0.09825990638510737,1.7758244899417588,0.0,25676.0,60.9,16.7,16.75,52.0041507,0.2172370104724945,27.6018803341684,,,,,,,,,,4.716666666666667,3.85,3.85,3.262,12.4
2015,강원,고,1900,54,54836,804,729,668,603,1.4,566,515,22,29,76,79.37258370413596,23.653621708366767,1827,505,1328,28.861052631578946,2.8421052631578947,1.0321686483332118,0.04011962944051353,0.05288496608067693,0.13859508352177402,1.3294186300970166,66.74447443285433,26946.0,62.2,17.1,16.23,44.1939177,0.1827252034234681,24.37303469499181,,,,,,,,,,4.766666666666667,4.4,4.4,4.336,18.29
2016,강원,고,1904,60,53516,754,696,695,611,1.4,602,531,34,37,46,81.47260632334255,24.356117796546823,1866,459,1335,28.107142857142858,3.1512605042016806,1.1248972269975335,0.06353240152477764,0.06913820165931683,0.08595560206293446,1.3005456312130952,68.39076164137828,28328.0,61.4,18.4,15.84,50.2639982,0.201961588563117,28.83978621469186,,,,,,,,,,5.3,4.933333333333334,4.933333333333334,4.795,20.81
2017,강원,고,1897,62,50599,782,745,730,667,1.5,586,530,35,21,29,86.6806063360936,25.869266191031443,1954,452,1267,26.67316816025303,3.268318397469689,1.1581256546572067,0.06917132749659084,0.041502796497954506,0.05731338564003241,1.4723611138560049,72.59036739856518,29925.0,65.5,20.3,15.3,57.7572547,0.1997159538307797,34.462397267221576,,,,,,,,,,,,,4.814,20.92
2018,강원,고,1887,60,46727,817,783,673,645,1.6,578,537,33,8,34,95.04813063111264,28.18269950991932,1966,428,1150,24.76258611552729,3.1796502384737675,1.2369722002268495,0.07062298028976823,0.017120722494489267,0.07276307060157938,1.675690714148137,75.84480065058744,30856.0,65.8,20.5,14.85,61.1539892,0.1955932475956233,37.8592145112363,,,,,,,,,,,,,4.971,21.78
2019,강원,고,1867,57,42570,857,821,658,652,1.8,535,489,35,11,23,103.73011510453372,31.03114869626497,1978,387,1194,22.80128548473487,3.053026245313337,1.2567535823349776,0.0822175240779892,0.025839793281653745,0.05402865867982147,1.928588207657975,83.60347662673244,32192.0,65.7,22.0,14.39,62.338064,0.1835167301566741,39.98900749255876,,,,,,,,,,,,,5.495,24.65
2020,강원,고,1849,56,39806,808,757,706,637,1.9,571,510,38,23,21,111.53165351956991,33.40544139074511,1971,386,1256,21.52839372633856,3.028664142779881,1.434457117017535,0.09546299552831232,0.057780234135557454,0.05275586594985681,1.9017233582876953,90.7652112746822,32026.0,63.6,22.6,13.87,64.9443153,0.1992951646362046,42.97532775277924,,,,,,,,,,,,,6.497,30.15
2021,강원,고,1806,58,38374,461,447,567,548,1.2,616,561,34,21,5,115.59894720383592,34.73351748579768,1960,362,1251,21.248062015503876,3.211517165005537,1.6052535570959505,0.08860165737217908,0.054724553082816485,0.013029655495908688,1.1648512013342367,93.10991817376349,33679.0,69.7,26.6,13.46,183.5745167,0.5177048523236499,123.5077550896834,,,,,,,,,,,,,6.642,30.95
2022,강원,고,1764,59,36821,627,610,564,571,1.6,643,572,45,26,6,119.96499280302,36.33546074251107,1950,345,1224,20.87358276643991,3.3446712018140587,1.7462860867439776,0.12221286765704353,0.07061187909073627,0.016295049020939138,1.6566633171288123,95.57046250780805,34426.0,70.3,29.6,13.14,87.11481,0.2588422537019143,59.556315929802494,1044.8827831,714.3374259774531,3.1046364496683463,14.6826151,10.03781634341266,0.0436261203200897,102.8571028,70.31858429101749,0.3056169702717767,,,,7.842,37.53
2023,강원,고,1723,56,36808,778,745,610,548,2.1,718,662,32,24,8,119.4333297109324,36.49652249510976,1929,349,1218,21.362739408009286,3.250145095763204,1.9506628993697022,0.0869376222560313,0.06520321669202347,0.021734405564007825,2.0240165181482284,94.97935231471419,34426.0,72.6,32.4,12.71,60.30822,0.1455715705369507,42.17977465222165,957.0630368,669.3731504626553,2.3101522374535253,16.6010422,11.610825505843517,0.040071482554189,115.4613627,80.75407066772043,0.2786998506103397,,,,8.131,39.12
2024,강원,고,1713,59,36675,807,783,629,576,2.2,854,772,40,42,8,119.90077709611452,36.46513974096796,1920,320,1215,21.409807355516637,3.4442498540572095,2.328561690524881,0.10906612133606,0.11451942740286299,0.021813224267211998,2.1349693251533743,94.2058623040218,34426.0,73.4,33.9,12.5,174.11502,0.4384774736205897,125.10599680974894,1009.1242594,725.0810204492218,2.541298595784331,18.39137,13.21465934729188,0.0463153693117429,307.1562,220.6994122465403,0.7735178423027524,,,,9.648,47.44
2012,강원,중,1877,59,56162,448,0,1947,2031,0.8,643,617,16,10,111,35.56630817990812,11.995904704248424,0,0,0,29.921150772509325,3.1433137986148108,1.1449022470709733,0.028489013924005557,0.017805633702503473,0.19764253409778854,0.0,0.0,22973.0,64.5,18.2,17.75,,,,,,,,,,,,,3.1,2.5,3.1,3.274,12.47
2013,강원,중,1856,67,54755,428,0,1884,1810,0.8,672,630,30,12,132,36.22383343986851,12.46302620765227,0,0,0,29.501616379310345,3.6099137931034484,1.2272851794356678,0.05478951693909232,0.02191580677563693,0.2410738745320062,0.0,0.0,24094.0,61.9,17.2,17.26,42.9094306,0.1856225233058637,22.056527657124647,,,,,,,,,,4.666666666666667,3.3000000000000003,4.666666666666667,3.543,13.94
2014,강원,중,1835,70,51976,299,0,1616,1557,0.5,716,683,20,13,76,37.771279051870096,13.087155610281668,0,0,0,28.324795640326975,3.8147138964577656,1.3775588733261506,0.03847929813760197,0.02501154378944128,0.14622133292288747,0.0,0.0,25676.0,60.9,16.7,16.75,52.0041507,0.2172370104724945,27.6018803341684,,,,,,,,,,4.716666666666667,3.85,4.716666666666667,3.575,14.12
2015,강원,중,1806,78,48073,278,0,1534,1447,0.5,709,632,39,38,88,41.25467518149481,14.243442264888817,1490,405,745,26.618493909191585,4.318936877076411,1.4748403469723128,0.08112661993218646,0.07904645019033553,0.18305493728288227,0.0,54.91648118486468,26946.0,62.2,17.1,16.23,44.1939177,0.1827252034234681,24.37303469499181,,,,,,,,,,4.766666666666667,4.4,4.766666666666667,4.074,16.86
2016,강원,중,1774,79,43999,253,0,1352,1286,0.5,714,622,31,61,74,44.51944362371872,15.436964476465374,1471,374,755,24.8021420518602,4.453213077790305,1.6227641537307664,0.07045614673060752,0.13863951453442122,0.16818564058274052,0.0,59.09225209663856,28328.0,61.4,18.4,15.84,50.2639982,0.201961588563117,28.83978621469186,,,,,,,,,,5.3,4.933333333333334,5.3,4.435,18.84
2017,강원,중,1754,82,41274,216,0,1185,1148,0.5,692,638,38,16,54,48.545525027862574,16.90606677327131,1528,317,750,23.531356898517675,4.67502850627138,1.676600281048602,0.0920676454911082,0.03876532441730872,0.13083296990841692,0.0,62.872510539322576,29925.0,65.5,20.3,15.3,57.7572547,0.1997159538307797,34.462397267221576,,,,,,,,,,,,,4.068,16.82
2018,강원,중,1734,80,39391,201,0,1058,1034,0.5,732,676,37,19,61,51.40389936787591,17.887080805260084,1531,312,743,22.71683967704729,4.61361014994233,1.8582925033637125,0.09393008555253739,0.04823436825670838,0.15485770861364273,0.0,65.64951384834099,30856.0,65.8,20.5,14.85,61.1539892,0.1955932475956233,37.8592145112363,,,,,,,,,,,,,4.327,18.24
2019,강원,중,1709,80,37701,217,0,1183,1009,0.6,823,764,38,21,58,53.04397761332591,18.969098962892232,1492,318,746,22.060269163253366,4.681100058513751,2.1829659690724386,0.10079308241160712,0.055701440280098664,0.15384207315455822,0.0,67.79661016949153,32192.0,65.7,22.0,14.39,62.338064,0.1835167301566741,39.98900749255876,,,,,,,,,,,,,4.685,20.21
2020,강원,중,1676,82,37836,227,0,1086,1172,0.6,903,838,37,28,55,53.3275716249075,19.332936885505863,1494,326,752,22.575178997613364,4.892601431980907,2.386615921344751,0.09779046410825669,0.07400359446030236,0.14536420340416534,0.0,67.9775874828206,32026.0,63.6,22.6,13.87,64.9443153,0.1992951646362046,42.97532775277924,,,,,,,,,,,,,5.019,22.04
2021,강원,중,1655,80,37887,150,0,1142,1242,0.4,1089,1022,32,35,24,53.026288700609705,19.65418217330483,1539,298,740,22.892447129909364,4.833836858006042,2.87433684377227,0.08446168870588856,0.09237997202206562,0.06334626652941643,0.0,68.01805368596088,33679.0,69.7,26.6,13.46,183.5745167,0.5177048523236499,123.5077550896834,,,,,,,,,,,,,5.29,23.53
2022,강원,중,1640,81,37922,162,0,1019,1045,0.4,1203,1119,48,36,17,53.39826485944834,19.73318917778598,1585,248,740,23.12317073170732,4.939024390243903,3.1723010389747377,0.12657560255260797,0.09493170191445599,0.044828859237381995,0.0,67.84979695163757,34426.0,70.3,29.6,13.14,87.11481,0.2588422537019143,59.556315929802494,1044.8827831,714.3374259774531,3.1046364496683463,14.6826151,10.03781634341266,0.0436261203200897,102.8571028,70.31858429101749,0.3056169702717767,,,,5.716,25.87
